node_id,node_title,confidence,doc_section,row_label,matched_text,match_reason,verdict_ok
BP.1.1.1,Product Identity,high,1. Executive Data Snapshot,Product category,Field: Product category | Extracted data: Pre-submission manuscript diagnostics / claim-level epistemic validation / research auditability layer. | Epistemic status: CONFIRMED,"This content defines the product category as 'Pre-submission manuscript diagnostics / claim-level epistemic validation / research auditability layer,' which is a one-sentence/phrase definition of EpistemicOS as a pre-sub",
BP.1.1.1,Product Identity,high,1. Executive Data Snapshot,Current one-sentence definition,"Field: Current one-sentence definition | Extracted data: A pre-submission manuscript diagnostics platform for academic research that assesses whether manuscript claims are supported, methodologically justified, inference-transparent, citation-grounded, and reviewer-ready. | Epistemic status: CONFIRMED","This content is a one-sentence definition of EpistemicOS as a pre-submission manuscript diagnostics platform, which is exactly what BP.1.1.1 requires as its required output.",
BP.1.1.1,Product Identity,low,EpistemicOS — Structured Source-of-Truth Dataset,,"EpistemicOS is a B2B SaaS platform for epistemic validation and reviewer-readiness assessment of academic manuscripts. The product operates as a pre-submission research verification layer that evaluates whether a paper’s claims are: supported by appropriate evidence, methodologically justified, inferentially coherent, traceable to sources, and aligned with reviewer and journal expectations. The system works at the claim level rather than the document level. It extracts claims, classifies claim types, maps evidence, evaluates inference validity, identifies methodological and theoretical weaknesses, detects citation-support gaps, and surfaces reviewer-facing risks before submission. EpistemicOS is not designed as a generative writing assistant or autonomous peer-review replacement system. Its primary function is epistemic auditability and structured research validation. Initial domain focus: management research, business schools, doctoral research, interdisciplinary social science environments. Long-term positioning: epistemic infrastructure for trustworthy academic knowledge production. Initial Buyer Hypotheses Primary Buyer Hypothesis Research-intensive business schools and univers","This content is a comprehensive product identity and buyer hypothesis overview that most directly populates the Product Identity node, defining EpistemicOS as a pre-submission academic manuscript diagnostics system in a ",
BP.1.1.1,Product Identity,high,2. Product Definition,What EpistemicOS is,Item: What EpistemicOS is | Extracted data: A claim-level diagnostics platform for assessing epistemic reliability of academic manuscripts before submission or editorial evaluation. | Epistemic status: CONFIRMED,"This content is a one-sentence definition of EpistemicOS as a claim-level diagnostics platform for academic manuscripts, which is exactly what the Product Identity node requires.",
BP.1.1.2,Unit of Analysis,low,15. Strategic Assumptions Register,Claim is the atomic unit of validation.,Assumption: Claim is the atomic unit of validation. | Type: Product/epistemic | Importance: Critical | Current confidence: Medium | Evidence available: Strong conceptual logic. | Evidence missing: User language and technical tractability. | Validation method: Interviews + prototype tests. | Owner: Founder/Product | Priority: Critical | Status: ASSUMPTION,"This content is a strategic assumption entry stating that 'claim is the atomic unit of validation' — a product/epistemic assumption about the unit of analysis, which directly maps to the node requiring a statement that t",
BP.1.1.5,Diagnostic Output Object,high,2. Product Definition,Output generated,"Item: Output generated | Extracted data: Structured diagnostic report showing where a manuscript is submission-ready, where revision is required, and which claims need stronger evidence or clearer justification. | Epistemic status: CONFIRMED","This content describes the structured diagnostic report output of EpistemicOS — showing submission-readiness, revision requirements, and claim evidence gaps — which maps directly to the definition of the diagnostic outpu",
BP.1.1.7.7,Product State Acceptance Check,high,1. Executive Data Snapshot,Current stage,"Field: Current stage | Extracted data: Early concept / prototype / MVP-stage framing appears in prior context, but no working product evidence, pilot data, or usage evidence is available in the extracted material. | Epistemic status: CONTRADICTION",This content is an extracted data field flagging a contradiction about the current product stage label (concept/prototype/MVP) with no supporting evidence — this is precisely what the Product State Acceptance Check node ,
BP.1.1.7.7,Product State Acceptance Check,high,2. Product Definition,Current product state,"Item: Current product state | Extracted data: Stated as early MVP/prototype in prior context, but no artifact, demo, pilot, or product usage evidence was available. | Epistemic status: CONTRADICTION","This content documents a contradiction between the claimed product state (early MVP/prototype) and the absence of any supporting artifact, demo, pilot, or usage evidence — which is exactly what the Product State Acceptan",
BP.1.1.7.7,Product State Acceptance Check,high,18. Contradictions and Ambiguities,Early MVP/prototype vs no evidence,Contradiction / ambiguity: Early MVP/prototype vs no evidence | Evidence on each side: Prior context says early MVP/prototype; no product proof available here. | Why it matters: Investor narrative cannot claim traction without evidence. | Required decision or validation: Provide product-state evidence. | Status: CONTRADICTION,"This content is an administrative contradiction record flagging that the claimed product state (early MVP/prototype) lacks supporting evidence, which is exactly what the Product State Acceptance Check node is designed to",
BP.1.1.9,Diagnostic Capability Map,low,6. Product Capabilities and Modules,Unsupported mechanism detection,Capability/module: Unsupported mechanism detection | Description: Detect mechanisms asserted without evidence. | User value: Reduces theory overclaim. | Required input: Theory/discussion sections. | Output: Unsupported-mechanism flags. | Human verification required?: Yes. | Technical uncertainty: Mechanism inference is judgement-heavy. | Validation requirement: Expert-coded benchmark. | Status: CONFIRMED,"This content describes a specific product capability module ('Unsupported mechanism detection') with its description, user value, inputs, outputs, and validation requirements — which is a product capability map entry, ma",
BP.1.1.9,Diagnostic Capability Map,high,6. Product Capabilities and Modules,Citation support checking,"Capability/module: Citation support checking | Description: Detect weak, missing, or misaligned citation support. | User value: Improves defensibility. | Required input: References and claims. | Output: Citation-support risk. | Human verification required?: Yes. | Technical uncertainty: Access to cited content; citation context. | Validation requirement: Manual citation audit benchmark. | Status: CONFIRMED","This content describes the 'citation support checking' capability as a confirmed product module, which belongs in a map of diagnostic capabilities included in the MVP workflow.",
BP.1.1.9,Diagnostic Capability Map,low,6. Product Capabilities and Modules,Method–conclusion alignment,Capability/module: Method–conclusion alignment | Description: Identify gaps between design/methods and claims. | User value: Prevents method-claim mismatch. | Required input: Methods/results/conclusion sections. | Output: Method-fit diagnostic. | Human verification required?: Yes. | Technical uncertainty: Methodological diversity. | Validation requirement: Domain expert assessment. | Status: CONFIRMED,"This content describes a specific product capability module ('Method–conclusion alignment') that identifies gaps between design/methods and claims, which is a method-fit diagnostic capability — this belongs in the diagno",
BP.1.1.9,Diagnostic Capability Map,low,6. Product Capabilities and Modules,Reviewer-risk detection,Capability/module: Reviewer-risk detection | Description: Surface issues reviewers may challenge. | User value: Improves pre-submission readiness. | Required input: Full manuscript diagnostic. | Output: Reviewer-facing risk report. | Human verification required?: Yes. | Technical uncertainty: Predictive validity uncertain. | Validation requirement: Compare with real reviewer comments. | Status: CONFIRMED,"This content describes a specific product capability (reviewer-risk detection) with its description, user value, inputs, outputs, human verification requirement, technical uncertainty, validation requirement, and confirm",
BP.1.1.9,Diagnostic Capability Map,low,6. Product Capabilities and Modules,Submission-readiness diagnostic,Capability/module: Submission-readiness diagnostic | Description: Overall diagnostic of readiness and revision needs. | User value: Actionable output. | Required input: Full manuscript analysis. | Output: Structured report. | Human verification required?: Yes. | Technical uncertainty: Scoring thresholds. | Validation requirement: Expert-panel calibration. | Status: CONFIRMED,"This content describes a 'submission-readiness diagnostic' module — an overall diagnostic of readiness and revision needs producing a structured report — which is a capability in the product's diagnostic capability map, ",
BP.1.1.9,Diagnostic Capability Map,low,6. Product Capabilities and Modules,Revision compliance tracker,Capability/module: Revision compliance tracker | Description: Map reviewer comments → author response → manuscript change. | User value: Supports revision quality. | Required input: Reviewer comments and revised manuscript. | Output: Response/change trace. | Human verification required?: Yes. | Technical uncertainty: Change detection and intent matching. | Validation requirement: Editor/reviewer benchmark. | Status: ASSUMPTION,"This content describes a specific product capability module (revision compliance tracker) with its description, user value, inputs, outputs, and technical assumptions — most closely matching the diagnostic capability map",
BP.1.2.1,Writing Assistance Exclusion,high,16. Decision Register,Product is not a writing tool.,"Decision: Product is not a writing tool. | Date/context: Current and prior positioning. | Rationale: Avoid confusion with generic AI writing tools. | Status: Decided. | Dependency: Positioning, compliance, sales. | Risk if wrong: Wrong category and buyer expectations. | Epistemic status: CONFIRMED","This content is a confirmed decision that the product is not a writing tool, which directly populates the node requiring an explicit statement that EpistemicOS is not a writing assistant or prose-generation support tool.",
