fact_text,correct_node_id,notes,stratum,proposed_node_id,proposed_node_title,judge_confidence,decision,review_reasons,degraded_target,degraded_reason,section_margin,source_quote,span,kb_row_id,cand1_section,cand1_title,cand1_sim,cand1_leaves,cand2_section,cand2_title,cand2_sim,cand2_leaves,cand3_section,cand3_title,cand3_sim,cand3_leaves
"Doctoral student / DBA candidate budget sources are personal, programme, or school.",,,would_auto_file,BP.5.3.5,Funding Source Assumptions,high,review,auto_file_disabled,False,,0.0605,"Personal, programme, school.",1115:1143,0db0d458-472c-42b1-9dd3-250453df50be,BP.5.3,Economic Buyer and Budget Authority,0.2972,BP.5.3.5 Funding Source Assumptions; BP.5.3.1 Economic Buyer Identification; BP.5.3.2 Budget Ownership; BP.5.3.3 Spending Authority; BP.5.3.4 Budget Approval Logic; BP.5.3.6 Budget Constraints; BP.5.3.7 Budget Authority Evidence Requirements; BP.5.3.8 Prohibited Budget Authority Inferences; BP.5.3.9 Budget Authority Acceptance Check,BP.1.3.6,User Journey Architecture,0.2367,BP.1.3.6.1 Researcher Upload Journey; BP.1.3.6.2 Doctoral Programme Workflow; BP.1.3.6.3 Research Office Workflow; BP.1.3.6.4 Journal & Editor Workflow; BP.1.3.6.5 Collaboration Permissions; BP.1.3.6.6 Notification Logic,BP.5.5,Budget Cycle and Decision Timing,0.2254,BP.5.5.1 Budget Cycle Definition; BP.5.5.2 Budget Planning Window; BP.5.5.3 Decision Timing; BP.5.5.4 Purchase Triggers; BP.5.5.5 Timing Constraints; BP.5.5.6 Budget Timing Assumptions; BP.5.5.7 Budget Timing Evidence Requirements; BP.5.5.8 Prohibited Timing Inferences; BP.5.5.9 Budget Cycle Acceptance Check
What must be proven for functional value is technical accuracy against expert-labelled manuscripts.,,,would_auto_file,BP.9.1.7,Value Logic Evidence Requirements,high,review,auto_file_disabled,False,,0.0451,Technical accuracy against expert-labelled manuscripts.,5411:5466,aa971d43-0f95-4d16-9290-616c0a55eb70,BP.9.1,"Value Creation, Delivery, and Capture Logic",0.3454,BP.9.1.1 Value Proposition Definition; BP.9.1.2 Value Creation Logic; BP.9.1.7 Value Logic Evidence Requirements; BP.9.1.3 Value Delivery Logic; BP.9.1.4 Value Capture Logic; BP.9.1.5 Business Model Assumptions; BP.9.1.6 Business Model Dependencies; BP.9.1.8 Prohibited Business Model Inferences; BP.9.1.9 Value Creation and Capture Acceptance Check,BP.10.1,Validation Strategy and Pilot Design,0.3003,BP.10.1.15 Design Partner Governance; BP.10.1.1 Validation Objectives; BP.10.1.2 Validation Hypotheses; BP.10.1.3 Pilot Design; BP.10.1.4 Validation Scope; BP.10.1.5 Validation Assumptions; BP.10.1.6 Validation Dependencies; BP.10.1.7 Validation Evidence Requirements; BP.10.1.8 Prohibited Validation Inferences; BP.10.1.9 Validation Strategy Acceptance Check; BP.10.1.10 Diagnostic Benchmark Protocol,BP.9.2,Pricing Hypothesis Governance,0.2704,BP.9.2.14 Procurement-Friendly Offer Architecture; BP.9.2.3 Pricing Assumptions; BP.9.2.1 Pricing Model Definition; BP.9.2.2 Pricing Structure; BP.9.2.4 Packaging Strategy; BP.9.2.5 Discount and Negotiation Logic; BP.9.2.6 Pricing Dependencies; BP.9.2.7 Pricing Evidence Requirements; BP.9.2.8 Prohibited Pricing Inferences; BP.9.2.9 Pricing Acceptance Check; BP.9.2.10 Package Tier Architecture; BP.9.2.11 Usage Limit Policy; BP.9.2.12 Pricing Metric Architecture; BP.9.2.13 Discount Governance
"The functional value of the product is that it extracts claims, maps evidence, checks inference, flags method–claim mismatch, and detects citation-support gaps.",,,would_auto_file,BP.1.1.9,Diagnostic Capability Map,high,review,auto_file_disabled,False,,0.0913,"Extracts claims, maps evidence, checks inference, flags method–claim mismatch, detects citation-support gaps.",5301:5410,2d860702-da60-437f-8ac1-a03240282faf,BP.1.1,Product Definition,0.4187,BP.1.1.1 Product Identity; BP.1.1.2 Unit of Analysis; BP.1.1.3 Core Diagnostic Function; BP.1.1.4 Diagnostic Object; BP.1.1.5 Diagnostic Output Object; BP.1.1.6 Human Judgment Role; BP.1.1.8 Definition Acceptance Check; BP.1.1.9 Diagnostic Capability Map,BP.8.4,Differentiation Claim Governance,0.3274,BP.8.4.1 Differentiation Claim Inventory; BP.8.4.2 Functional Differentiation; BP.8.4.3 Workflow Differentiation; BP.8.4.4 Institutional Differentiation; BP.8.4.5 Differentiation Assumptions; BP.8.4.6 Differentiation Dependencies; BP.8.4.7 Differentiation Evidence Requirements; BP.8.4.8 Prohibited Differentiation Inferences; BP.8.4.9 Differentiation Acceptance Check,BP.1.8,Technical Feasibility and MVP Architecture,0.3242,BP.1.8.13 Confidence & Uncertainty Display; BP.1.8.14 Export Format Architecture; BP.1.8.6 Evaluation Benchmark Architecture; BP.1.8.7 Model and Vendor Strategy; BP.1.8.15 Engineering Roadmap; BP.1.8.16 Build-vs-Buy Strategy; BP.1.8.10 Issue Card Format; BP.1.8.11 Severity & Prioritisation Display; BP.1.8.12 Revision Recommendation Format; BP.1.8.1 MVP Diagnostic Workflow Architecture; BP.1.8.2 Manuscript Ingestion and Parsing Architecture; BP.1.8.3 Claim Extraction and Classification Architecture; BP.1.8.4 Evidence Mapping and Inference Checking Architecture; BP.1.8.5 Output Traceability and Human Review Workflow Architecture; BP.1.8.8 Security Architecture and Deployment Model; BP.1.8.9 Technical Architecture Acceptance Check
The adoption trigger for doctoral students / DBA candidates is thesis or paper submission.,,,would_auto_file,BP.6.6.5,Adoption Trigger Logic,high,review,auto_file_disabled,False,,0.1705,Thesis/paper submission.,1144:1168,d6f96efe-db76-4971-9914-17d0cef24f1e,BP.6.6,Adoption Sequencing Architecture,0.5011,BP.6.6.1 Initial Adoption Target; BP.6.6.2 User Adoption Sequence; BP.6.6.3 Buyer Adoption Sequence; BP.6.6.4 Institutional Adoption Sequence; BP.6.6.5 Adoption Trigger Logic; BP.6.6.6 Adoption Assumptions; BP.6.6.7 Adoption Evidence Requirements; BP.6.6.8 Prohibited Adoption Inferences; BP.6.6.9 Adoption Sequencing Acceptance Check,BP.1.3.1,Workflow Trigger Definition,0.3306,BP.1.3.1.1 Trigger Event Classification; BP.1.3.1.2 Trigger Preconditions; BP.1.3.1.3 Trigger Validation Rules; BP.1.3.1.4 Trigger Documentation Requirements,BP.6.3,Pain Intensity and Adoption Barriers,0.3023,BP.6.3.1 Pain Definition; BP.6.3.2 Pain Severity; BP.6.3.3 Pain Frequency; BP.6.3.4 Adoption Barrier Inventory; BP.6.3.5 Barrier Classification; BP.6.3.6 Pain and Barrier Assumptions; BP.6.3.7 Pain and Barrier Evidence Requirements; BP.6.3.8 Prohibited Pain and Barrier Inferences; BP.6.3.9 Pain and Barrier Acceptance Check; BP.6.3.10 Interview Repository; BP.6.3.11 Adoption Objection Log; BP.6.3.12 Non-Adoption Reason Registry
The faculty researcher persona is based on internal ICP material and is an assumption.,,,would_auto_file,BP.4.4.6,ICP Assumptions,high,review,auto_file_disabled,False,,0.0328,"Internal ICP material.
ASSUMPTION",987:1020,bdebb503-20cf-4d06-8955-b303547e6bf8,BP.4.4,ICP and Beachhead Definition,0.3233,BP.4.4.7 ICP Evidence Requirements; BP.4.4.8 Prohibited ICP Inferences; BP.4.4.5 Beachhead Selection Logic; BP.4.4.6 ICP Assumptions; BP.4.4.1 Candidate ICP Definition; BP.4.4.2 ICP Characteristics; BP.4.4.3 ICP Qualification Criteria; BP.4.4.4 Beachhead Segment Definition; BP.4.4.9 ICP and Beachhead Acceptance Check,BP.6.3,Pain Intensity and Adoption Barriers,0.2905,BP.6.3.1 Pain Definition; BP.6.3.2 Pain Severity; BP.6.3.3 Pain Frequency; BP.6.3.4 Adoption Barrier Inventory; BP.6.3.5 Barrier Classification; BP.6.3.6 Pain and Barrier Assumptions; BP.6.3.7 Pain and Barrier Evidence Requirements; BP.6.3.8 Prohibited Pain and Barrier Inferences; BP.6.3.9 Pain and Barrier Acceptance Check; BP.6.3.10 Interview Repository; BP.6.3.11 Adoption Objection Log; BP.6.3.12 Non-Adoption Reason Registry,BP.12.2,Cross-Domain Uncertainty Intake and Routing,0.2487,BP.12.2.1 Intake Source Definition; BP.12.2.3 Routing Confirmation Log Format; BP.12.2.4 Deferral Decision Criteria; BP.12.2.5 Intake Assumptions; BP.12.2.6 Intake Dependencies; BP.12.2.7 Intake Evidence Requirements; BP.12.2.9 Intake and Routing Acceptance Check; BP.12.2.2 Routing Protocol; BP.12.2.8 Prohibited Intake Inferences
The core value proposition is an assumption.,,,would_auto_file,BP.9.1.5,Business Model Assumptions,high,review,auto_file_disabled,False,,0.0255,ASSUMPTION,5273:5283,abc688d6-baa1-4167-91e6-a9e66889f7ee,BP.9.1,"Value Creation, Delivery, and Capture Logic",0.4829,BP.9.1.1 Value Proposition Definition; BP.9.1.2 Value Creation Logic; BP.9.1.7 Value Logic Evidence Requirements; BP.9.1.3 Value Delivery Logic; BP.9.1.4 Value Capture Logic; BP.9.1.5 Business Model Assumptions; BP.9.1.6 Business Model Dependencies; BP.9.1.8 Prohibited Business Model Inferences; BP.9.1.9 Value Creation and Capture Acceptance Check,BP.6.4,WTP Signals and Value Perception,0.4574,BP.6.4.1 Value Proposition Perception; BP.6.4.2 Value Drivers; BP.6.4.3 Willingness-to-Pay Signals; BP.6.4.4 Pricing Signal Classification; BP.6.4.5 Value Assumptions; BP.6.4.6 WTP Dependencies; BP.6.4.7 WTP Evidence Requirements; BP.6.4.8 Prohibited WTP Inferences; BP.6.4.9 WTP Acceptance Check,BP.2.1,Core Problem Definition,0.3716,BP.2.1.1 Problem Statement; BP.2.1.2 Problem Boundary; BP.2.1.3 Affected Workflow; BP.2.1.4 Affected Stakeholders; BP.2.1.5 Problem Manifestation; BP.2.1.6 Problem Assumptions; BP.2.1.7 Problem Evidence Requirements; BP.2.1.8 Prohibited Claims and Inference Patterns; BP.2.1.9 Problem Definition Acceptance Check
Risk-reduction value is an assumption.,,,would_auto_file,BP.6.4.5,Value Assumptions,high,review,auto_file_disabled,False,,0.0449,ASSUMPTION,5858:5868,1da223f1-3592-468d-bf6c-32f7cf80cc6f,BP.6.4,WTP Signals and Value Perception,0.4506,BP.6.4.1 Value Proposition Perception; BP.6.4.2 Value Drivers; BP.6.4.3 Willingness-to-Pay Signals; BP.6.4.4 Pricing Signal Classification; BP.6.4.5 Value Assumptions; BP.6.4.6 WTP Dependencies; BP.6.4.7 WTP Evidence Requirements; BP.6.4.8 Prohibited WTP Inferences; BP.6.4.9 WTP Acceptance Check,BP.12.4,Mitigation Planning and Ownership,0.4057,BP.12.4.1 Mitigation Plan Requirement; BP.12.4.2 Risk Owner Assignment; BP.12.4.3 Risk Trigger Definition; BP.12.4.4 Escalation Path; BP.12.4.5 Mitigation Assumptions; BP.12.4.6 Mitigation Dependencies; BP.12.4.7 Mitigation Evidence Requirements; BP.12.4.8 Prohibited Mitigation Inferences; BP.12.4.9 Mitigation Planning Acceptance Check,BP.2.1,Core Problem Definition,0.3507,BP.2.1.1 Problem Statement; BP.2.1.2 Problem Boundary; BP.2.1.3 Affected Workflow; BP.2.1.4 Affected Stakeholders; BP.2.1.5 Problem Manifestation; BP.2.1.6 Problem Assumptions; BP.2.1.7 Problem Evidence Requirements; BP.2.1.8 Prohibited Claims and Inference Patterns; BP.2.1.9 Problem Definition Acceptance Check
"High-fit conditions for the business school ICP include being research-active, having Q1/Q2 publication targets, doctoral or postdoctoral activity, research centers, research reputation pressure, and existing research tooling spend.",,,would_auto_file,BP.4.4.2,ICP Characteristics,high,review,auto_file_disabled,False,,0.1694,Research-active; Q1/Q2 publication targets; doctoral/postdoctoral activity; research centers; research reputation pressure; existing research tooling spend.,4056:4212,a8e261c2-98dd-47dd-bbdc-2677ff1417a1,BP.4.4,ICP and Beachhead Definition,0.4463,BP.4.4.7 ICP Evidence Requirements; BP.4.4.8 Prohibited ICP Inferences; BP.4.4.5 Beachhead Selection Logic; BP.4.4.6 ICP Assumptions; BP.4.4.1 Candidate ICP Definition; BP.4.4.2 ICP Characteristics; BP.4.4.3 ICP Qualification Criteria; BP.4.4.4 Beachhead Segment Definition; BP.4.4.9 ICP and Beachhead Acceptance Check,BP.7.5,Segment-Specific Compliance Requirements,0.2769,BP.7.5.1 Target Segment Compliance Requirements; BP.7.5.2 Geographic Compliance Requirements; BP.7.5.3 Institution-Specific Requirements; BP.7.5.4 Compliance Blockers; BP.7.5.5 Compliance Assumptions; BP.7.5.6 Compliance Dependencies; BP.7.5.7 Compliance Evidence Requirements; BP.7.5.8 Prohibited Compliance Inferences; BP.7.5.9 Segment Compliance Acceptance Check; BP.7.5.10 Responsible AI Use Policy; BP.7.5.11 Misuse Case Governance; BP.7.5.12 Author–Supervisor–Editor Role Boundaries; BP.7.5.13 User Transparency Statement,BP.1.1.7,Product State Label,0.2483,BP.1.1.7.1 Concept State Criteria; BP.1.1.7.2 Prototype State Criteria; BP.1.1.7.3 Demo State Criteria; BP.1.1.7.4 MVP State Criteria; BP.1.1.7.5 Pilot-Ready State Criteria; BP.1.1.7.6 Deployed State Criteria; BP.1.1.7.7 Product State Acceptance Check
Procurement barriers for reviewers include journal approval and legitimacy concerns.,,,would_auto_file,BP.5.4.4,Procurement Blockers,high,review,auto_file_disabled,False,,0.0908,Journal approval; legitimacy concern.,1568:1605,340f979a-e543-4056-836e-f1d45718528c,BP.5.4,Procurement Path and Approval Logic,0.4511,BP.5.4.1 Procurement Process Definition; BP.5.4.2 Procurement Stages; BP.5.4.3 Approval Workflow; BP.5.4.4 Procurement Blockers; BP.5.4.5 Procurement Dependencies; BP.5.4.6 Procurement Assumptions; BP.5.4.7 Procurement Evidence Requirements; BP.5.4.8 Prohibited Procurement Inferences; BP.5.4.9 Procurement Path Acceptance Check,BP.6.3,Pain Intensity and Adoption Barriers,0.3603,BP.6.3.1 Pain Definition; BP.6.3.2 Pain Severity; BP.6.3.3 Pain Frequency; BP.6.3.4 Adoption Barrier Inventory; BP.6.3.5 Barrier Classification; BP.6.3.6 Pain and Barrier Assumptions; BP.6.3.7 Pain and Barrier Evidence Requirements; BP.6.3.8 Prohibited Pain and Barrier Inferences; BP.6.3.9 Pain and Barrier Acceptance Check; BP.6.3.10 Interview Repository; BP.6.3.11 Adoption Objection Log; BP.6.3.12 Non-Adoption Reason Registry,BP.8.7,Incumbent and Platform Threats,0.3517,BP.8.7.1 Incumbent Threat Inventory; BP.8.7.2 Platform Dependency Risks; BP.8.7.3 Publisher Threats; BP.8.7.4 AI Platform Threats; BP.8.7.5 Threat Assumptions; BP.8.7.6 Threat Monitoring Dependencies; BP.8.7.7 Threat Evidence Requirements; BP.8.7.8 Prohibited Threat Inferences; BP.8.7.9 Threat Architecture Acceptance Check
The Procurement / legal buyer persona is confirmed.,,,would_auto_file,BP.5.3.1,Economic Buyer Identification,high,review,auto_file_disabled,False,,0.021,"Compliance notes.
CONFIRMED",3939:3966,41e6a79b-16d8-4183-aafb-5fa63dd16d56,BP.5.3,Economic Buyer and Budget Authority,0.3545,BP.5.3.5 Funding Source Assumptions; BP.5.3.1 Economic Buyer Identification; BP.5.3.2 Budget Ownership; BP.5.3.3 Spending Authority; BP.5.3.4 Budget Approval Logic; BP.5.3.6 Budget Constraints; BP.5.3.7 Budget Authority Evidence Requirements; BP.5.3.8 Prohibited Budget Authority Inferences; BP.5.3.9 Budget Authority Acceptance Check,BP.5.1,User and Buyer Role Map,0.3335,BP.5.1.1 End User Definition; BP.5.1.2 Buyer Definition; BP.5.1.3 Influencer Definition; BP.5.1.4 Blocker Definition; BP.5.1.5 Approver Definition; BP.5.1.6 Decision-Maker Definition; BP.5.1.7 Role Evidence Requirements; BP.5.1.8 Prohibited Role Inferences; BP.5.1.9 User and Buyer Role Acceptance Check,BP.5.4,Procurement Path and Approval Logic,0.3062,BP.5.4.1 Procurement Process Definition; BP.5.4.2 Procurement Stages; BP.5.4.3 Approval Workflow; BP.5.4.4 Procurement Blockers; BP.5.4.5 Procurement Dependencies; BP.5.4.6 Procurement Assumptions; BP.5.4.7 Procurement Evidence Requirements; BP.5.4.8 Prohibited Procurement Inferences; BP.5.4.9 Procurement Path Acceptance Check
