fact_text,correct_node_id,category,is_boilerplate_target,scoring_bucket,node_title,notes
"The system reads the full manuscript PDF, not the abstract.",BP.1.1.4,clear,FALSE,a_classifier,Diagnostic Object,
Nothing we output is a decision. A supervisor signs off before anything goes further.,BP.1.1.6,clear,FALSE,a_classifier,Human Judgment Role,
We are not a plagiarism checker and we will not flag AI-written text.,BP.1.2.4,clear,FALSE,a_classifier,Integrity Detection Exclusion,
We will never tell an author their odds of getting into a given journal.,BP.1.2.5,clear,FALSE,a_classifier,Acceptance Prediction Exclusion,
Spain and the EU only for the first eighteen months. No US work.,BP.1.6.1,clear,FALSE,a_classifier,Initial Operating Geography,
The pain shows up when a doctoral candidate hands a first draft to their supervisor.,BP.2.1.3,clear,FALSE,a_classifier,Affected Workflow,
"We grade findings as blocking, major or minor. Blocking means the claim cannot stand as written.",BP.2.2.4,clear,FALSE,a_classifier,Severity Classification,
REF submission deadlines are what force departments to act.,BP.2.3.3,clear,FALSE,a_classifier,Timing Triggers,
Vendor blogs and press releases are out. We do not cite marketing material.,BP.3.1.5,clear,FALSE,a_classifier,Source Exclusion Criteria,
"We use a seven-level scale, E1 to E7, from single anecdote up to replicated peer-reviewed work.",BP.3.2.1,clear,FALSE,a_classifier,Evidence Tier Definitions,
Roughly 2.8 million manuscripts are submitted each year across our target countries.,BP.4.2.1,clear,FALSE,a_classifier,TAM Model,
"The segments we are looking at: doctoral programmes, research offices, journal editorial teams, independent postdocs.",BP.4.3.1,clear,FALSE,a_classifier,Candidate Segment Inventory,
"A good fit has 200 or more doctoral candidates, a central research office, and existing integrity training.",BP.4.4.2,clear,FALSE,a_classifier,ICP Characteristics,
Our primary buyer is the research dean at target business schools.,BP.5.1.2,clear,FALSE,a_classifier,Buyer Definition,user-supplied example
The IT security lead can stall a purchase for months without holding any budget.,BP.5.1.4,clear,FALSE,a_classifier,Blocker Definition,
"A dean can sign off up to 25,000 euros before it goes to the finance committee.",BP.5.3.3,clear,FALSE,a_classifier,Spending Authority,
Doctoral supervisors push hardest for this internally. Procurement is where it slows down.,BP.5.2.5,clear,FALSE,a_classifier,Blocker and Champion Analysis,
"We need at least 30 conversations: 15 candidates, 10 supervisors, 5 research office staff.",BP.6.1.2,clear,FALSE,a_classifier,Target Participants,
Every discovery call runs the same twelve questions so answers compare across institutions.,BP.6.1.4,clear,FALSE,a_classifier,Interview Protocol,
Customer manuscripts are never used to train or fine-tune any model. Inference only.,BP.7.2.3,clear,FALSE,a_classifier,No-Training / No-Fine-Tuning Policy,
We operate under Spanish and EU law. GDPR applies to everything we store.,BP.7.1.2,clear,FALSE,a_classifier,Regulatory Jurisdictions,
Grammarly and Elicit are not direct rivals but they compete for the same budget line.,BP.8.1.5,clear,FALSE,a_classifier,Adjacent and Substitute Solutions,
Most departments still do this with a senior academic reading drafts by hand over a weekend.,BP.8.2.2,clear,FALSE,a_classifier,Manual Alternatives,
Turnitin has distribution and incumbency. Elicit is an adjacent AI tool. Neither checks inference.,BP.8.1.2,clear,FALSE,a_classifier,Competitor Classification,
We catch unsupported claims in a manuscript before a supervisor or reviewer has to.,BP.9.1.1,clear,FALSE,a_classifier,Value Proposition Definition,
"The pilot runs twelve weeks across three departments, about 40 manuscripts each.",BP.10.1.3,clear,FALSE,a_classifier,Pilot Design,
"Real use means they uploaded a draft they were already working on, not a file we handed them.",BP.10.2.2,clear,FALSE,a_classifier,Workflow Trigger Definition,
